CaO,Al2O3,SiO2,molar_volume,density,youngs_modulus,shear_modulus,bulk_modulus,poisson_ratio,fracture_toughess
0.0,0.0,100.0,27.2595281306715,2.204,72.5,31.25,36.1,0.16,
0.0,0.0,100.0,,2.204,72.52,31.097770154373933,36.11,0.166,
63.3,31.7,5.0,23.521193689804047,3.011,99.81,37.80681818181818,92.82,0.32,
60.0,40.0,0.0,25.70111878453039,2.8960000000000004,112.9,43.895800933125976,86.65,0.28600000000000003,
59.26,39.51,1.23,25.738248610052,2.885,110.68,42.634822804314325,87.57,0.298,
58.5,39.0,2.5,25.683661234396673,2.884,116.4,45.82677165354331,84.2,0.27,
57.0,38.0,5.0,25.497377378069874,2.891,111.9,43.7109375,87.0,0.28,
55.5,37.0,7.5,25.373281563472837,2.891,111.0,43.359375,86.9,0.28,
60.0,30.0,10.0,23.083286230693393,3.043,112.99,44.06786271450858,86.55,0.282,
54.0,36.0,10.0,25.425076976663178,2.8710000000000004,109.0,42.578125,82.7,0.28,
60.0,30.0,10.0,23.083286230693393,3.043,113.0,44.140625,86.55,0.28,
52.5,35.0,12.5,25.29130745125348,2.872,106.0,41.40625,81.3,0.28,
56.7,28.3,15.0,23.42386207128446,2.9739999999999998,110.18,43.0390625,83.54,0.28,
58.4,26.6,15.0,23.177174158815607,2.972,106.12,40.90979182729376,87.37,0.297,
51.0,34.0,15.0,25.307378851540623,2.8560000000000003,116.1,45.0,93.9,0.29,
51.0,34.0,15.0,24.165120026746912,2.991,107.1,42.16535433070866,85.63,0.27,
56.7,28.3,15.0,23.42386207128446,2.9739999999999998,110.2,43.046875,83.54,0.28,
58.4,26.6,15.0,23.177174158815607,2.972,106.1,40.807692307692314,87.37,0.3,
49.5,33.0,17.5,25.0589243902439,2.87,104.2,40.703125,81.4,0.28,
53.3,26.7,20.0,22.9586762537363,3.011,98.02,37.07261724659607,91.96,0.322,
48.0,32.0,20.0,24.933920557491287,2.87,105.1,40.73643410852713,84.6,0.29,
53.3,26.7,20.0,22.9586762537363,3.011,98.02,37.12878787878788,91.96,0.32,
39.4,36.1,24.5,26.04232599929254,2.827,108.6,41.9,88.5,0.295,
30.0,40.0,30.0,26.96300178253119,2.805,103.5,40.0,83.6,0.29375,
40.0,30.0,30.0,25.01512676056338,2.84,103.6,38.8,104.6791666666666,0.3350515463917525,
37.5,27.5,35.0,24.98967023172905,2.805,103.5,40.0,83.6,0.293,
30.0,30.0,40.0,25.88522463768116,2.76,98.8,38.2,78.8,0.2931937172774868,
40.0,20.0,40.0,23.623660777385147,2.83,97.6,36.4,102.08735632183901,0.3406593406593406,
20.54,36.65,42.62,27.600123734716558,2.699,97.5,38.5,69.6,0.267,
35.8,19.7,44.5,24.23819898550725,2.76,98.8,38.2,78.8,0.261,
25.52,25.05,49.43,25.76860929233049,2.699,97.5,38.5,69.6,0.267,
30.0,20.0,50.0,24.341375316684772,2.763,93.3,36.2,73.1,0.2886740331491711,
30.0,20.0,50.0,24.69894234300405,2.7230000000000003,94.6,37.1,70.3,0.28,
30.0,20.0,50.0,24.63561172161172,2.73,95.0,36.2,84.28921568627443,0.3121546961325965,
25.0,25.0,50.0,25.85,2.69,92.6,36.5,66.3,0.267,
34.23,12.51,53.25,23.14263120521172,2.763,93.3,36.2,73.1,0.287,
32.0,8.0,60.0,22.95035745937961,2.708,92.9,35.8,76.45563218390812,0.2974860335195533,0.598
26.7,13.3,60.0,24.57433249619482,2.628,91.6,35.2,76.76952380952376,0.3011363636363635,0.645
20.0,20.0,60.0,26.00133743274404,2.602,93.3,36.0,76.16326530612247,0.2958333333333334,0.655
17.4,22.6,60.0,26.41919708365311,2.6060000000000003,98.0,37.8,80.18181818181827,0.2962962962962965,0.657
30.0,10.0,60.0,23.118482404692077,2.728,90.1,35.2,67.7,0.2798295454545452,
30.0,10.0,60.0,23.620681647940067,2.67,86.2,34.0,61.4,0.27,
32.0,8.0,60.0,22.93341992619926,2.71,92.5,35.75,74.73163841807911,0.2937062937062938,0.6
